"statistic","mean","50th","5th","25th","33rd","66th","75th","95th"
"early","-0.05","0.29","0.19","0.21","0.17","0.27","0.25","-0.01"
"average","-0.05","0.19","0.06","0.3","0.35","-0.14","-0.22","-0.16"
"late","0.22","0.12","0.44","0.4","0.35","0.25","0.33","-0.09"
