"statistic","mean","50th","5th","25th","33rd","66th","75th","95th"
"early","0.29","0.34*","0.41*","-0.2","0.1","0.45*","0.29","0.15"
"average","-0.35","0.01","0.03","-0.38","-0.48","0.36*","-0.13","0.07"
"late","0.22","0.49*","0.23","0.2","0.18","0.45*","0.35","0.41*"
