"statistic","mean","50th","5th","25th","33rd","66th","75th","95th"
"early","0.41*","0.3","0.21","0.14","0.36*","0.25","0.13","-0.15"
"average","0.23","0.36","-0.06","-0.42","-0.22","0.04","0.08","0.07"
"late","0.53*","0.21","0.23","0.42*","0.49*","0.34","0.16","0.51*"
