"statistic","mean","50th","5th","25th","33rd","66th","75th","95th"
"early","0.24","-0.06","0.14","0.05","-0.02","-0.3","0.09","-0.09"
"average","-0.38","-0.27","-0.2","-0.14","-0.31","0.11","0.03","-0.36"
"late","-0.04","0.27","0.12","0.3","0.24","0.25","-0.1","0.17"
