"statistic","mean","50th","5th","25th","33rd","66th","75th","95th"
"early","0.63*","0.51*","0.26","0.24","0.38","0.6*","0.25","-0.12"
"average","0.24","-0.03","0.27","0.16","0.57*","0.28","0.24","0.68*"
"late","0.06","0.19","0.06","0.35","0.26","0.22","0.24","0.17"
