"statistic","mean","50th","5th","25th","33rd","66th","75th","95th"
"early","0.37*","0.28","0.49*","0.36*","0.37*","0.25","0.27","0.61*"
"average","0.13","0.09","0.53*","0.07","0.15","-0.14","0.05","0.19"
"late","0.55*","0.45*","0.54*","0.63*","0.65*","0.27","0.44*","0.25"
